Timestamp,Number of Guests
2025-04-15 17:45:58,22
2025-04-15 17:58:54,31
2025-04-15 18:33:05,41
2025-04-15 18:53:41,36
2025-04-15 19:22:09,33
2025-04-15 19:43:04,21
2025-04-15 19:58:43,15
2025-04-15 20:35:06,20
2025-04-15 20:53:10,20
2025-04-15 21:19:25,20
2025-04-15 21:32:00,20
2025-04-15 21:48:59,20
2025-04-15 22:01:30,17
2025-04-15 22:30:16,0
2025-04-15 22:45:43,0
2025-04-15 22:58:38,0
2025-04-15 23:25:23,0
2025-04-15 23:41:08,0
2025-04-15 23:53:55,0
2025-04-16 00:23:40,0
2025-04-16 00:43:48,0
2025-04-16 00:58:53,0
2025-04-16 01:25:35,0
2025-04-16 01:41:22,0
2025-04-16 01:53:31,0
2025-04-16 03:55:06,0
2025-04-16 05:08:40,0
2025-04-16 05:45:16,2
2025-04-16 05:58:55,12
2025-04-16 06:31:43,13
2025-04-16 06:52:25,13
2025-04-16 07:24:06,6
2025-04-16 07:43:24,0
2025-04-16 07:58:38,0
2025-04-16 08:37:09,13
2025-04-16 08:54:35,13
2025-04-16 09:24:17,36
2025-04-16 09:41:52,34
2025-04-16 09:58:36,43
2025-04-16 10:36:01,29
2025-04-16 10:54:58,43
2025-04-16 11:27:03,29
2025-04-16 11:45:04,28
2025-04-16 11:58:55,9
2025-04-16 12:31:22,8
2025-04-16 12:51:56,8
2025-04-16 13:20:12,16
2025-04-16 13:33:28,14
2025-04-16 13:48:53,18
2025-04-16 14:01:39,15
2025-04-16 14:56:45,12
2025-04-16 15:33:57,19
2025-04-16 15:50:52,17
2025-04-16 16:12:42,15
2025-04-16 16:39:25,22
2025-04-16 16:52:09,20
2025-04-16 17:27:46,23
2025-04-16 17:45:02,24
2025-04-16 17:59:28,19
2025-04-16 18:34:43,21
2025-04-16 18:55:33,11
2025-04-16 19:21:57,6
2025-04-16 19:43:16,6
2025-04-16 19:59:05,6
2025-04-16 20:37:28,28
2025-04-16 20:53:46,24
2025-04-16 21:17:36,17
2025-04-16 21:30:28,8
2025-04-16 21:43:06,4
2025-04-16 21:58:40,4
2025-04-16 22:29:40,2
